,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 12 55,34547.55242392153,159.0,,,,284935.60758057155,Lower 80% of displacements
b 12 60,36042.53531044276,159.0,,,,311432.533094132,Lower 80% of displacements
b 12 65,37017.97327283507,159.0,,,,338225.043099541,Lower 80% of displacements
b 12 70,38260.0252778202,159.0,,,,365116.53783780406,Lower 80% of displacements
b 12 75,39777.22244133487,159.0,,,,391945.49141608796,Lower 80% of displacements
b 12 80,41335.34734887733,159.0,,,,418944.31137668993,Lower 80% of displacements
b 12 85,41785.22667020039,159.0,,,,446131.7791803557,Lower 80% of displacements
b 12 90,43444.23658307637,159.0,,,,473272.72405365214,Lower 80% of displacements
b 12 95,46076.80092840627,159.0,,,500774.22225043474,,Upper 20% of displacements
b 12 100,47554.3338946534,159.0,,,528140.8912665616,,Upper 20% of displacements
b 13 5,22800.110671371443,159.0,,24104.92018707805,,,Lower 80% of displacements
b 13 10,23968.955044895654,159.0,,48387.33555083562,,,Lower 80% of displacements
b 13 15,25367.339626355173,159.0,72785.61516207906,,,,Upper 20% of displacements
b 13 20,26720.59156101551,159.0,97294.56221592403,,,,Upper 20% of displacements
b 13 25,27795.913456777547,159.0,121976.9541988349,,,,Upper 20% of displacements
b 13 30,29073.899482107638,159.0,146624.25421506763,,,,Upper 20% of displacements
b 13 35,29949.527075955226,159.0,,171511.938541078,,,Lower 80% of displacements
b 13 40,29705.633749208147,159.0,,196606.56266759738,,,Lower 80% of displacements
b 13 45,30954.930280612458,159.0,,221592.2455523277,,,Lower 80% of displacements
b 13 50,32500.77606082414,159.0,,246618.37080445018,,,Lower 80% of displacements
b 13 55,33621.92127286477,159.0,,,,271899.9298062689,Lower 80% of displacements
b 13 60,35217.85993150768,159.0,,,,297270.04814850225,Lower 80% of displacements
b 13 65,36634.937521909014,159.0,,,,322643.465920745,Lower 80% of displacements
b 13 70,37544.601485315325,159.0,,,,348291.59391651285,Lower 80% of displacements
b 13 75,38974.23363551948,159.0,,,,373999.5022266151,Lower 80% of displacements
b 13 80,40177.639547054656,159.0,,,,399718.22214683366,Lower 80% of displacements
b 13 85,41392.43930676933,159.0,,,,425678.90534142934,Lower 80% of displacements
b 13 90,42937.80820721629,159.0,,,,451604.76278305554,Lower 80% of displacements
b 13 95,43736.0107669814,159.0,,,,477534.39765629,Lower 80% of displacements
b 13 100,46362.80266072008,159.0,,,503910.2291767835,,Upper 20% of displacements
b 14 5,22768.25340743923,159.0,,22987.21798459644,,,Lower 80% of displacements
b 14 10,23745.868290704002,159.0,,46182.12432405459,,,Lower 80% of displacements
b 14 15,24903.293846793513,159.0,,69484.20420514124,,,Lower 80% of displacements
b 14 20,26577.293041156106,159.0,92786.71303471742,,,,Upper 20% of displacements
b 14 25,27491.26465199688,159.0,116335.984804046,,,,Upper 20% of displacements
